clave,estado,abreviatura
1,Aguascalientes,Ags.
10,Durango,Dgo.
11,Guanajuato,Gto.
12,Guerrero,Gro.
13,Hidalgo,Hgo.
14,Jalisco,Jal.
15,M̩xico,Mex.
16,Michoac,Mich.
17,Morelos,Mor.
18,Nayarit,Nay.
19,"Nuevo Leon",NL
2,"Baja California",BC
20,Oaxaca,Oax.
21,Puebla,Pue.
22,Quer,Qro.
23,"Quintana Roo","Q. Roo"
24,"San Luis Potosi",SLP
25,Sinaloa,Sin.
26,Sonora,Son.
27,Tabasco,Tab.
28,Tamaulipas,Tamps.
29,Tlaxcala,Tlax.
3,"Baja California Sur",BCS
30,"Veracruz de Ignacio de la Llave",Ver.
31,Yucatan,Yuc.
32,Zacatecas,Zac.
4,Campeche,Camp.
5,"Coahuila de Zaragoza",Coah.
6,Colima,Col.
7,Chiapas,Chis.
8,Chihuahua,Chih.
9,"Ciudad de M",CDMX
